model_name,month_date,target_month,portfolio,portfolio_return_percent,benchmark_return_percent,mean_fund_excess_return_percent,funds,excess_return_percent,excess_difference
RF,2024-07-01,2024-08-01,17,-0.379166,1.035556,-1.414722,1,-1.4147219999999998,2.220446049250313e-16
RF,2024-07-01,2024-08-01,18,0.35037599999999997,1.035556,-0.68518,2,-0.6851799999999999,1.1102230246251565e-16
RF,2024-07-01,2024-08-01,19,1.532421,1.035556,0.496865,1,0.4968650000000001,1.1102230246251565e-16
RF,2024-08-01,2024-09-01,0,2.233573,2.166814,0.06675900000000001,2,0.06675899999999979,-2.220446049250313e-16
RF,2024-08-01,2024-09-01,1,2.499482,2.166814,0.332668,2,0.33266799999999996,-5.551115123125783e-17
RF,2024-08-01,2024-09-01,2,0.779048,2.166814,-1.387766,1,-1.387766,0.0
RF,2024-08-01,2024-09-01,3,2.572726,2.166814,0.405912,2,0.40591199999999983,-1.6653345369377348e-16
RF,2024-08-01,2024-09-01,4,1.941772,2.166814,-0.22504200000000002,2,-0.22504199999999996,5.551115123125783e-17
RF,2024-08-01,2024-09-01,5,3.26813,2.166814,1.101316,1,1.1013160000000002,2.220446049250313e-16
RF,2024-08-01,2024-09-01,6,2.1346395,2.166814,-0.032174499999999995,2,-0.032174499999999995,0.0
RF,2024-08-01,2024-09-01,7,2.4746835000000003,2.166814,0.3078695,2,0.30786950000000024,2.220446049250313e-16
RF,2024-08-01,2024-09-01,8,2.59996,2.166814,0.433146,1,0.4331459999999998,-1.6653345369377348e-16
RF,2024-08-01,2024-09-01,9,1.756306,2.166814,-0.4105080000000001,2,-0.4105080000000001,0.0
RF,2024-08-01,2024-09-01,10,4.1989755,2.166814,2.0321615,2,2.0321615000000004,4.440892098500626e-16
RF,2024-08-01,2024-09-01,11,2.025028,2.166814,-0.141786,1,-0.1417860000000002,-1.942890293094024e-16
RF,2024-08-01,2024-09-01,12,2.943849,2.166814,0.777035,2,0.7770350000000001,1.1102230246251565e-16
RF,2024-08-01,2024-09-01,13,4.6200395,2.166814,2.4532255,2,2.4532255,0.0
RF,2024-08-01,2024-09-01,14,1.843844,2.166814,-0.32297,1,-0.32297,0.0
RF,2024-08-01,2024-09-01,15,2.740306,2.166814,0.573492,2,0.5734919999999999,-1.1102230246251565e-16
RF,2024-08-01,2024-09-01,16,2.6492515,2.166814,0.48243749999999996,2,0.4824375000000001,1.1102230246251565e-16
RF,2024-08-01,2024-09-01,17,2.621639,2.166814,0.454825,1,0.45482500000000003,5.551115123125783e-17
RF,2024-08-01,2024-09-01,18,2.4021865,2.166814,0.23537249999999998,2,0.23537249999999998,0.0
RF,2024-08-01,2024-09-01,19,2.48218,2.166814,0.315366,1,0.31536600000000004,5.551115123125783e-17
