feature_1,feature_2,spearman_rho,abs_rho
t_const_250,t_const_750,0.5389306275254642,0.5389306275254642
const_750,t_const_250,0.5376532473780203,0.5376532473780203
t_const_120,ir_p1y,0.5367280224547382,0.5367280224547382
const_120,ir_p1y,0.5364407752764915,0.5364407752764915
t_const_750,r2_120,-0.5364122179028707,0.5364122179028707
const_750,r2_120,-0.5297226038084412,0.5297226038084412
r2_120,sr_p3y,-0.528243031040438,0.528243031040438
r2_90,t_mkt_250,0.5269226665799392,0.5269226665799392
r2_180,sr_p3y,-0.5262397598156828,0.5262397598156828
r2_180,sr_p1y,-0.5256413455373,0.5256413455373
t_smb_120,t_smb_750,0.5223081570526512,0.5223081570526512
const_250,const_750,0.5185543010191083,0.5185543010191083
const_250,t_const_750,0.5174926042985581,0.5174926042985581
t_const_750,t_mkt_90,-0.5171974373511488,0.5171974373511488
t_const_250,ir_p3y,0.5161571423766987,0.5161571423766987
t_smb_90,t_smb_750,0.5144378016230648,0.5144378016230648
t_mkt_90,sr_p6m,-0.5143554359361243,0.5143554359361243
const_750,t_mkt_90,-0.5135755219791304,0.5135755219791304
t_hml_120,ir_p3y,0.5134822150986281,0.5134822150986281
const_750,ir_p1y,0.5112212147933902,0.5112212147933902
t_mkt_180,sr_p3y,-0.510345923987812,0.510345923987812
t_const_750,ir_p1y,0.5074712087078982,0.5074712087078982
t_const_750,r2_250,-0.5048804207014744,0.5048804207014744
sr_p1y,sr_p3y,0.501694694211201,0.501694694211201
const_250,ir_p3y,0.5015205767932054,0.5015205767932054
t_mkt_750,t_umd_120,-0.5007891346280068,0.5007891346280068
r2_180,sr_p6m,-0.4986254607499231,0.4986254607499231
t_mkt_750,t_umd_90,-0.49587505006391386,0.49587505006391386
t_mkt_180,sr_p6m,-0.49548260014689155,0.49548260014689155
t_const_750,r2_90,-0.488707431663602,0.488707431663602
r2_90,sr_p6m,-0.4875233018011253,0.4875233018011253
t_hml_250,sr_p3y,0.48338821681030414,0.48338821681030414
const_750,r2_90,-0.48299839997725846,0.48299839997725846
const_750,r2_250,-0.48178450240344756,0.48178450240344756
const_750,t_umd_180,0.48005914370776076,0.48005914370776076
t_hml_180,sr_p3y,0.4795121025427268,0.4795121025427268
const_90,ir_p1y,0.4766101885351219,0.4766101885351219
t_const_90,ir_p1y,0.4761595581430171,0.4761595581430171
t_mkt_120,sr_p1y,-0.47606846640945355,0.47606846640945355
t_mkt_90,sr_p3y,-0.47601807003814944,0.47601807003814944
sr_p6m,sr_p3y,0.47553742448883685,0.47553742448883685
const_90,const_250,0.47315070772385553,0.47315070772385553
const_250,t_const_90,0.471749337352957,0.471749337352957
t_const_90,t_const_250,0.47173427557003755,0.47173427557003755
const_90,t_const_250,0.4708906240426715,0.4708906240426715
