"Date","Price","Open","High","Low","Vol.","Change %"
"01-11-2011","5,207.62","5,697.06","5,742.55","5,083.16","","-9.57%"
"01-10-2011","5,758.67","5,329.21","5,777.31","5,218.18","","6.02%"
"01-09-2011","5,431.79","5,553.42","5,682.17","5,344.97","","-1.39%"
"01-08-2011","5,508.31","6,049.84","6,049.84","5,252.87","","-8.60%"
"01-07-2011","6,026.92","6,149.51","6,269.43","6,026.92","","-2.01%"
"01-06-2011","6,150.71","6,124.68","6,150.71","5,787.57","","0.98%"
"01-05-2011","6,090.88","6,194.05","6,194.05","5,851.89","","-2.55%"
"01-04-2011","6,250.38","6,282.41","6,404.92","6,240.42","","-0.22%"
"01-03-2011","6,264.00","5,940.38","6,264.00","5,806.90","","9.04%"
"01-02-2011","5,744.78","5,884.40","6,005.52","5,631.88","","-3.97%"
"01-01-2011","5,982.33","6,714.84","6,714.84","5,982.33","","-10.43%"
"01-12-2010","6,679.12","6,589.47","6,679.12","6,268.93","","3.37%"
"01-11-2010","6,461.20","6,827.57","7,024.37","6,320.78","","-3.83%"
"01-10-2010","6,718.49","6,776.29","6,915.47","6,678.21","","1.03%"
"01-09-2010","6,649.82","6,205.04","6,697.78","6,205.04","","8.74%"
"01-08-2010","6,115.32","6,092.27","6,273.62","6,092.27","","1.46%"
"01-07-2010","6,027.16","5,898.70","6,097.16","5,890.59","","1.38%"
"01-06-2010","5,944.93","5,567.02","5,954.99","5,567.02","","4.83%"
"01-05-2010","5,670.98","5,820.62","5,820.62","5,368.62","","-3.17%"
"01-04-2010","5,856.50","5,823.93","5,930.90","5,751.88","","1.30%"
"01-03-2010","5,781.09","5,615.73","5,794.77","5,615.73","","4.56%"
"01-02-2010","5,529.01","5,618.39","5,640.10","5,388.92","","-0.63%"
"01-01-2010","5,563.86","5,846.16","6,023.08","5,522.82","","-3.98%"
"01-12-2009","5,794.34","5,639.77","5,794.34","5,527.63","","4.50%"
"01-11-2009","5,544.82","4,984.83","5,597.19","4,984.83","","7.60%"
"01-10-2009","5,152.97","5,505.55","5,625.43","5,152.97","","-6.40%"
"01-09-2009","5,505.04","5,076.24","5,505.04","5,053.40","","7.41%"
"01-08-2009","5,125.18","5,097.00","5,157.41","4,808.92","","2.15%"
"01-07-2009","5,017.07","4,657.34","5,017.07","4,258.76","","8.78%"
"01-06-2009","4,612.22","4,847.08","4,955.23","4,529.14","","-2.87%"
"01-05-2009","4,748.52","3,697.05","4,748.52","3,645.06","","34.48%"
"01-04-2009","3,531.14","3,081.93","3,568.33","3,081.93","","16.07%"
"01-03-2009","3,042.29","2,720.41","3,106.95","2,606.43","","8.66%"
"01-02-2009","2,799.86","2,831.64","2,998.71","2,777.21","","-4.26%"
"01-01-2009","2,924.48","3,120.78","3,216.34","2,739.89","","-3.62%"
"01-12-2008","3,034.27","2,703.30","3,128.27","2,678.22","","9.85%"
"01-11-2008","2,762.29","3,089.26","3,217.47","2,624.18","","-5.95%"
"01-10-2008","2,937.10","4,065.23","4,065.23","2,603.77","","-27.18%"
"01-09-2008","4,033.31","4,583.48","4,739.19","3,966.46","","-12.18%"
"01-08-2008","4,592.47","4,631.28","4,874.01","4,444.68","","1.11%"
"01-07-2008","4,542.09","4,029.47","4,663.43","4,002.42","","8.23%"
"01-06-2008","4,196.57","5,042.24","5,042.24","4,196.57","","-19.00%"
"01-05-2008","5,180.88","5,591.76","5,591.76","5,154.30","","-6.07%"
"01-04-2008","5,515.51","4,985.13","5,530.03","4,894.95","","10.40%"
"01-03-2008","4,996.10","5,403.44","5,403.44","4,756.27","","-12.24%"
"01-02-2008","5,692.94","5,804.28","6,025.58","5,291.45","","0.38%"
"01-01-2008","5,671.45","7,020.78","7,174.73","5,390.80","","-18.77%"
"01-12-2007","6,981.86","6,475.04","6,981.86","6,469.57","","10.05%"
"01-11-2007","6,344.24","6,197.02","6,492.24","6,019.93","","1.33%"
